,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1,1.564600396156311,0.00375022240700222,0.015799736976623534,0.0005997278152696107,poisson,,0.5,2,200,"{'criterion': 'poisson', 'max_depth': None, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 200}",0.8845091470598712,0.822579272338245,0.8760304621858883,0.8293375396705324,0.8669180731569885,0.5263337399655764,0.8825668239245889,0.8772240057704567,0.8882608143569897,0.8622664136857915,0.8316026292114929,0.10398309269308732,1
2,2.3718998432159424,0.07160046186404609,0.02310070991516113,0.000699984858301932,poisson,,0.5,2,300,"{'criterion': 'poisson', 'max_depth': None, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 300}",0.8607447571671506,0.8277225533245663,0.8761195225120456,0.8394529168017468,0.8545084304961751,0.5411629552544983,0.8915029332720409,0.8719353095890181,0.8832954648565646,0.867277054717165,0.8313721897990971,0.09846148168585286,2
0,0.7848966836929321,0.003355486455358874,0.009401202201843262,0.0004901742103938254,poisson,,0.5,2,100,"{'criterion': 'poisson', 'max_depth': None, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 100}",0.8666046527936035,0.826255752240397,0.8707903281759835,0.84035868070148,0.8582428849119339,0.5082052938676889,0.8790776642946662,0.872741221080554,0.8889011800244845,0.8627327746751172,0.827391043276591,0.10778808500264475,3
